Self-harm | C0424366
injury from terrorist explosion of suicide bomb | C2077162
suicide assessment five step evaluation and triage | C5431590
IDS-SR - Thoughts of Death or Suicide | C4330460
Columbia-Suicide Severity Rating Scale Screening Questionnaire | C3827015
Columbia-Suicide Severity Rating Scale Baseline Questionnaire | C3639710
C-SSRS Screening - First Suicide Attempt Date | C3830658
QIDS-SR - Thoughts of Death or Suicide | C4331935
C-SSRS Children's Baseline - Aborted Suicide Attempt | C3830848
C-SSRS Baseline - First Suicide Attempt Damage | C3639943
C-SSRS Baseline - First Suicide Attempt Potential | C3639944
C-SSRS Children's Baseline - Actual Suicide Attempt | C3830844
C-SSRS Children's Since Last Visit - Suicide | C3830735
C-SSRS Children's Baseline - Interrupted Suicide Attempt | C3830828
C-SSRS Baseline - First Suicide Attempt Date | C3639942
poisoning; history, self-poisoning or suicide attempt | C1387432
Not affected by the suicide of another | C5214608
Columbia - suicide severity rating scale - lifetime recent | C5211711
Columbia - suicide severity rating scale screener - recent | C5211889
Suicide and self-inflicted injury by hanging | C0261972
Aborted or self-interrupted suicide attempt:Find:Lifetime:^Patient:Ord | C5211736
Deterrents definitely stopped you from attempting suicide | C5214524
Aborted or self-interrupted suicide attempts:Num:Lifetime:^Patient:Qn | C5211738
Suicide and self-inflicted injury by handgun | C0261977
Suicide and self-inflicted injury by electrocution | C0261994
Suicide and self-inflicted injury by scald | C0261992
Suicide and self-inflicted injury by shotgun | C0261978
Suicide and self-inflicted injury by explosives | C0261982
Terrorism involving suicide bomber, civilian injured, sequela | C2907545
Utilize direct, nonjudgmental approach in discussing suicide | C4713901
Systematic monitoring of community suicide prevention strategies | C4715690
Sustained commitment to community suicide prevention strategies | C4715676
Identification of cultural components of suicide risk | C4715688
Recognizes symptoms of depression and potential suicide | C4717318
Suicide risk reduction group each 60 minutes | C1965820
Suicide risk reduction individual each 15 minutes | C0884607
Encourage verbalization related to suicide attempt, fears. | C0547450
Patient suicide, or attempted suicide resulting in serious disability, while being cared for in a healthcare facility | C1300104
Death with Dignity | C0011070
Suicide and self-inflicted injury by unspecified means | C0038662
Suicide or selfinflicted injury by firearms and explosives | C0418302
Suicide or selfinflicted injury by crashing of aircraft | C0418325
Suicide or selfinflicted injury by crashing motor vehicle | C0418324
Suicide or self injury by burning or fire | C0418326
Suicide or self injury associated with moving vehicles | C0418320
Suicide or self injury by exposure to cold | C0418332
Suicide or selfinflicted injury by cutting and stabbing | C0418309
Suicide or self injury by jumping from bridge | C0418317
Suicide or self injury by jumping off cliff | C0418319
Have you ever had an immediate family member, romantic partner, or very close friend commit suicide:Find:Pt:^Patient:Ord:LTVH | C3259974
Suicide and self-inflicted injury by paintball gun | C1135315
C-SSRS Screening - Number of Actual Suicide Attempts | C3830644
C-SSRS Screening - Number of Aborted Suicide Attempts | C3830645
C-SSRS Screening - Number of Interrupted Suicide Attempts | C3830643
C-SSRS Screening - Description of Interrupted Suicide Attempt | C3830665
C-SSRS Screening - Description of Actual Suicide Attempt | C3830666
C-SSRS Baseline - Number of Actual Suicide Attempts | C3639924
C-SSRS Screening - Description of Aborted Suicide Attempt | C3830670
C-SSRS Baseline - Number of Interrupted Suicide Attempts | C3639928
C-SSRS Baseline - Number of Aborted Suicide Attempts | C3639931
C-SSRS Screening - Most Lethal Suicide Attempt Date | C3830653
C-SSRS Screening - Most Recent Suicide Attempt Date | C3830650
SIQ - What to Write in a Suicide Note | C4726474
C-SSRS Baseline - Most Lethal Suicide Attempt Damage | C3639940
C-SSRS Screening - First Suicide Attempt Potential Lethality | C3830657
C-SSRS Baseline - Most Recent Suicide Attempt Date | C3639936
C-SSRS Children's Baseline/Screening - Actual Suicide Attempt | C3830806
C-SSRS Baseline - Most Lethal Suicide Attempt Date | C3639939
C-SSRS Baseline - Most Lethal Suicide Attempt Potential | C3639941
C-SSRS Baseline - Most Recent Suicide Attempt Damage | C3639937
C-SSRS Baseline - Most Recent Suicide Attempt Potential | C3639938
Columbia-Suicide Severity Rating Scale Children's Baseline Questionnaire | C3827019
C-SSRS Children's Baseline/Screening - Aborted Suicide Attempt | C3830813
C-SSRS Children's Baseline/Screening - Interrupted Suicide Attempt | C3830789
C-SSRS Baseline - Description of Actual Suicide Attempts | C3639925
C-SSRS Baseline - Description of Interrupted Suicide Attempt | C3639929
C-SSRS Baseline - Description of Aborted Suicide Attempt | C3639932
C-SSRS Children's Baseline - First Suicide Attempt Date | C3830832
C-SSRS Since Last Visit - Actual Suicide Attempt | C3641592
C-SSRS Since Last Visit - Aborted Suicide Attempt | C3641599
C-SSRS Since Last Visit - Interrupted Suicide Attempt | C3641596
I tried to commit suicide in last W | C3533240
Thoughts of death or suicide in past 7D | C3166430
Potential lethality most recent suicide attempt:Find:Pt:^Patient:Ord:C-SSRS | C5211756
I do not think of suicide or death. | C3843112
Suicide and self-inflicted injury by hunting rifle | C0261979
Suicide and self-inflicted injury by burns, fire | C0261991
Aborted or self-interrupted suicide attempt:Find:3Mo:^Patient:Ord | C5211739
Aborted or self-interrupted suicide attempts:Num:3Mo:^Patient:Qn | C5211740
Potential lethality most lethal suicide attempt:Find:Lifetime:^Patient:Ord:C-SSRS | C5211748
Suicide and self-inflicted injury by air gun | C0490036
Suicide and self-inflicted injury by military firearms | C0261980
Terrorism involving suicide bomber, public safety official injured | C2907538
Terrorism involving suicide bomber, civilian injured, subsequent encounter | C2907544
Terrorism involving suicide bomber, civilian injured, initial encounter | C2907543
Implement precautions for patient at risk for suicide | C4713867
Consult with treatment team before modifying suicide precautions | C0810894
Suicide and self-inflicted injury by shot NOS | C0868440
Suicide and self-inflicted injury by gunshot NOS | C0868439
Suicide and self-inflicted injury by pellet gun | C0868442
Suicide and self-inflicted injury by BB gun | C0868441
Actual lethality or medical damage most lethal suicide attempt | C5211747
Actual lethality or medical damage most recent suicide attempt | C5211761
Potential lethality initial or first suicide attempt:Find:Pt:^Patient:Ord:C-SSRS | C5211754
Suicide and self-inflicted injury by other specified means | C0261974
Suicide and selfinflicted poisoning by gases in domestic use | C0261962
Suicide and selfinflicted injury by hanging, strangulation and suffocation | C0261971
Suicide and selfinflicted injury by jumping from residential premises | C0261985
Suicide and selfinflicted injury by jumping from natural sites | C0261987
Suicide and selfinflicted poisoning by gas distributed by pipeline | C0261963
Suicide and self-inflicted poisoning by other utility gas | C0261965
Suicide and self-inflicted poisoning by other carbon monoxide | C0261968
Suicide and selfinflicted poisoning by solid and liquid substances | C0418257
Suicide and selfinflicted injury by lying before moving object | C0418259
Suicide and selfinflicted injury by jumping before moving object | C0418260
Suicide or self injury by igniting gasoline soaked clothing | C0418327
Suicide or self injury by jumping from high building | C0418316
Suicide and selfinflicted injury by caustic substances, excluding poisoning | C0558926
Suicide or self injury by jumping from a height | C0418314
Columbia-Suicide Severity Rating Scale Lifetime/Recent Version Questionnaire | C3896692
No history of suicidal ideation | C4759348
Referral to Department of Veterans Affairs suicide prevention program | C5699962
Education about Department of Veterans Affairs Suicide Prevention Program | C5778586
attempted suicide by jumping or lying before moving object | C2063685
C-SSRS Baseline - Description of Non-Specific Suicide Thought | C3639911
C-SSRS Children's Baseline - Number of Interrupted Suicide Attempts | C3830816
C-SSRS Children's Baseline - Number of Actual Suicide Attempts | C3830817
C-SSRS Children's Baseline - Number of Aborted Suicide Attempts | C3830818
Columbia-Suicide Severity Rating Scale Children's Baseline/Screening Questionnaire | C3827018
C-SSRS Screening - Most Recent Suicide Attempt Potential Lethality | C3830649
Columbia-Suicide Severity Rating Scale Baseline/Screening Version Questionnaire | C3827020
C-SSRS Screening - Most Lethal Suicide Attempt Potential Lethality | C3830652
SIQ-JR - What to Write in a Suicide Note | C4726516
Columbia-Suicide Severity Rating Scale Since Last Visit Questionnaire | C3641328
C-SSRS Baseline/Screening Version - First Suicide Attempt Date | C3830881
C-SSRS Children's Baseline - Most Lethal Suicide Attempt Date | C3830826
C-SSRS Baseline/Screening Version - Actual Suicide Attempt (Lifetime) | C3830901
Columbia-Suicide Severity Rating Scale Already Enrolled Subjects Questionnaire | C3827021
C-SSRS Baseline/Screening Version - Interrupted Suicide Attempt (Lifetime) | C3830877
C-SSRS Baseline/Screening Version - Aborted Suicide Attempt (Lifetime) | C3830909
C-SSRS Children's Baseline/Screening - First Suicide Attempt Date | C3830794
C-SSRS Children's Baseline - Most Recent Suicide Attempt Date | C3830823
C-SSRS Children's Baseline - Description of Aborted Suicide Attempt | C3830842
C-SSRS Children's Baseline - Description of Actual Suicide Attempt | C3830838
C-SSRS Children's Baseline - Description of Interrupted Suicide Attempt | C3830837
C-SSRS Children's Since Last Visit - Interrupted Suicide Attempt | C3830749
C-SSRS Children's Baseline - First Suicide Attempt Potential Lethality | C3830831
C-SSRS Children's Since Last Visit - Actual Suicide Attempt | C3830762
C-SSRS Already Enrolled Subjects - First Suicide Attempt Date | C3830942
C-SSRS Lifetime/Recent Version - Interrupted Suicide Attempt (Lifetime) | C3899873
C-SSRS Lifetime/Recent Version - First Suicide Attempt Date | C3899877
C-SSRS Lifetime/Recent Version - Aborted Suicide Attempt (Lifetime) | C3899905
C-SSRS Lifetime/Recent Version - Actual Suicide Attempt (Lifetime) | C3899897
Suicide and self-inflicted injury by extremes of cold | C0261993
Suicide and self-inflicted injury by crashing of aircraft | C0261996
Terrorism involving suicide bomber, public safety official injured, sequela | C2907541
Suicide and self-inflicted poisoning by other sedatives and hypnotics | C0261954
Support for suicide prevention programs from influential community representatives | C4715687
Suicide attempt by placing self in path of moving vehicle | C4759310
Institute precautions as needed (such as, seizure, suicide, etc.). | C0548142
Actual lethality or medical damage initial or first suicide attempt | C5211759
Suicide and selfinflicted poisoning by analgesics, antipyretics and anti-rheumatics | C0261952
Suicide and self-inflicted poisoning by other gases and vapors | C0261966
Suicide and self-inflicted injuries by jumping from high place | C0261984
Columbia - suicide severity rating scale screener - recent:-:Pt:^Patient:-:C-SSRS | C5211888
Columbia - suicide severity rating scale - lifetime recent:-:Pt:^Patient:-:C-SSRS | C5211710
Suicide or self injury by jumping from high natural feature | C0418318
Suicide and self-inflicted poisoning by unspecified gases and vapors | C0261970
C-SSRS Children's Baseline/Screening - Number of Actual Suicide Attempts | C3830777
C-SSRS Children's Baseline/Screening - Number of Interrupted Suicide Attempts | C3830776
C-SSRS Children's Baseline/Screening - Number of Aborted Suicide Attempts | C3830778
C-SSRS Since Last Visit - Number of Interrupted Suicide Attempts | C3641597
C-SSRS Baseline/Screening Version - Description of Interrupted Suicide Attempt | C3830890
C-SSRS Children's Baseline/Screening - Description of Aborted Suicide Attempt | C3830804
C-SSRS Since Last Visit - Number of Actual Suicide Attempts | C3641593
C-SSRS Since Last Visit - Number of Aborted Suicide Attempts | C3641600
C-SSRS Children's Baseline/Screening - Description of Interrupted Suicide Attempt | C3830799
C-SSRS Children's Baseline/Screening - Description of Actual Suicide Attempt | C3830800
C-SSRS Baseline/Screening Version - Description of Actual Suicide Attempt | C3830891
C-SSRS Baseline/Screening Version - Description of Aborted Suicide Attempt | C3830895
C-SSRS Children's Baseline/Screening - Most Lethal Suicide Attempt Date | C3830787
C-SSRS Children's Baseline/Screening - Most Recent Suicide Attempt Date | C3830784
C-SSRS Baseline/Screening Version - Most Recent Suicide Attempt Date | C3830871
C-SSRS Baseline/Screening Version - Most Lethal Suicide Attempt Date | C3830874
C-SSRS Children's Baseline/Screening - First Suicide Attempt Potential Lethality | C3830793
C-SSRS Baseline/Screening Version - First Suicide Attempt Potential Lethality | C3830880
C-SSRS Already Enrolled Subjects - Most Recent Suicide Attempt Date | C3830932
C-SSRS Already Enrolled Subjects - Completed Suicide (Since Study Start) | C3830961
Columbia-Suicide Severity Rating Scale Children's Since Last Visit Questionnaire | C3827017
C-SSRS Children's Baseline - Most Recent Suicide Attempt Potential Lethality | C3830822
C-SSRS Already Enrolled Subjects - Most Lethal Suicide Attempt Date | C3830935
C-SSRS Screening - Preparatory Acts or Behaviors Toward Suicide Attempt | C3830642
C-SSRS Screening - First Suicide Attempt Actual Lethality/Medical Damage | C3830659
C-SSRS Children's Baseline - Most Lethal Suicide Attempt Potential Lethality | C3830825
C-SSRS Lifetime/Recent Version - Most Lethal Suicide Attempt Date | C3899870
C-SSRS Lifetime/Recent Version - Most Recent Suicide Attempt Date | C3899867
C-SSRS Since Last Visit - Description of Actual Suicide Attempts | C3641594
C-SSRS Already Enrolled Subjects - Description of Interrupted Suicide Attempt | C3830951
C-SSRS Already Enrolled Subjects - Description of Actual Suicide Attempt | C3830952
C-SSRS Already Enrolled Subjects - Description of Aborted Suicide Attempt | C3830956
C-SSRS Since Last Visit - Description of Interrupted Suicide Attempt | C3641598
C-SSRS Since Last Visit - Description of Aborted Suicide Attempt | C3641601
C-SSRS Lifetime/Recent Version - Description of Interrupted Suicide Attempt | C3899886
C-SSRS Lifetime/Recent Version - Description of Actual Suicide Attempt | C3899887
C-SSRS Lifetime/Recent Version - Description of Aborted Suicide Attempt | C3899891
C-SSRS Baseline - Preparatory Acts or Behaviors Toward Suicide Attempt | C3639933
C-SSRS Already Enrolled Subjects - First Suicide Attempt Potential Lethality | C3830941
C-SSRS Lifetime/Recent Version - First Suicide Attempt Potential Lethality | C3899876
Suicide and self-inflicted poisoning by arsenic and its compounds | C0261960
Suicide and self-inflicted injury by cutting and piercing instrument | C0261983
Thoughts of death or suicide in past 7D:Find:7D:^Patient:Nom:QIDS | C3175876
Suicide and self-inflicted injury by other and unspecified means | C0261989
Suicide and self-inflicted poisoning by corrosive and caustic substances | C0261959
Suicide and self-inflicted poisoning by motor vehicle exhaust gas | C0261967
Suicide and self-inflicted poisoning by solid or liquid substances | C0261951
Suicide and self-inflicted injury by caustic substances, except poisoning | C0261997
Suicide and self-inflicted injury by firearms and explosives, unspecified | C0375754
Suicide and self-inflicted injury by crashing of motor vehicle | C0261995
Suicide and self-inflicted injury by other and unspecified firearm | C0261981
Suicide and self-inflicted injuries by jumping from unspecified site | C0261988
Terrorism involving suicide bomber, public safety official injured, initial encounter | C2907539
Terrorism involving suicide bomber, public safety official injured, subsequent encounter | C2907540
Referral of individuals with suicide ideation to mental health services | C4715683
I tried to commit suicide in last W:Find:1W:^Patient:Ord:BSL-SUPP | C3699287
Actual lethality or medical damage most recent suicide attempt:Find:Pt:^Patient:Ord:C-SSRS | C5211760
Suicide and selfinflicted injury by jumping or lying before moving object | C0261990
Suicide and self-inflicted poisoning by tranquilizers and other psychotropic agents | C0261955
SURVEY.CSSRS | C5211321
Suicide or self injury by jumping from high man-made structure | C0418315
Columbia-Suicide Severity Rating Scale Pediatric/Cognitively Impaired Lifetime/Recent Questionnaire | C3827016
C-SSRS Baseline/Screening Version - Number of Aborted Suicide Attempts (Lifetime) | C3830863
C-SSRS Baseline/Screening Version - Number of Interrupted Suicide Attempts (Lifetime) | C3830859
C-SSRS Baseline/Screening Version - Number of Actual Suicide Attempts (Lifetime) | C3830861
C-SSRS Since Last Visit - Description of Non-Specific Suicide Thought | C3641581
C-SSRS Children's Since Last Visit - Number of Interrupted Suicide Attempts | C3830740
C-SSRS Already Enrolled Subjects - Completed Suicide (Prior to Study Entry) | C3830962
C-SSRS Lifetime/Recent Version - Number of Interrupted Suicide Attempts (Lifetime) | C3899856
C-SSRS Lifetime/Recent Version - Number of Actual Suicide Attempts (Lifetime) | C3899858
C-SSRS Children's Since Last Visit - Number of Actual Suicide Attempts | C3830741
C-SSRS Lifetime/Recent Version - Number of Aborted Suicide Attempts (Lifetime) | C3899860
C-SSRS Children's Baseline/Screening - Most Lethal Suicide Attempt Potential Lethality | C3830786
C-SSRS Baseline/Screening Version - Most Recent Suicide Attempt Potential Lethality | C3830870
C-SSRS Screening - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3830654
C-SSRS Screening - Most Recent Suicide Attempt Actual Lethality/Medical Damage | C3830651
C-SSRS Children's Baseline/Screening - Most Recent Suicide Attempt Potential Lethality | C3830783
C-SSRS Baseline/Screening Version - Most Lethal Suicide Attempt Potential Lethality | C3830873
C-SSRS Baseline/Screening Version - Interrupted Suicide Attempt (Past X Years) | C3830876
C-SSRS Baseline/Screening Version - Aborted Suicide Attempt (Past X Years) | C3830908
C-SSRS Children's Since Last Visit - Most Lethal Suicide Attempt Date | C3830747
C-SSRS Already Enrolled Subjects - Most Recent Suicide Attempt Potential Lethality | C3830931
C-SSRS Baseline/Screening Version - Actual Suicide Attempt (Past X Years) | C3830900
C-SSRS Baseline/Screening Version Phase 1 Study - Actual Suicide Attempt | C3642018
C-SSRS Baseline/Screening Version Phase 1 Study - Aborted Suicide Attempt | C3642025
C-SSRS Baseline/Screening Version Phase 1 Study - Interrupted Suicide Attempt | C3642022
C-SSRS Lifetime/Recent Version - Most Recent Suicide Attempt Potential Lethality | C3899866
C-SSRS Lifetime/Recent Version - Most Lethal Suicide Attempt Potential Lethality | C3899869
C-SSRS Already Enrolled Subjects - Most Lethal Suicide Attempt Potential Lethality | C3830934
C-SSRS Children's Since Last Visit - Description of Interrupted Suicide Attempt | C3830755
C-SSRS Children's Since Last Visit - Description of Actual Suicide Attempt | C3830756
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Actual Suicide Attempt (Lifetime) | C3830725
C-SSRS Children's Baseline - Preparatory Acts or Behaviors Toward Suicide Attempt | C3830815
C-SSRS Already Enrolled Subjects - Interrupted Suicide Attempt (Since Study Start) | C3830937
C-SSRS Lifetime/Recent Version - Actual Suicide Attempt (Past 3 Months) | C3899896
C-SSRS Lifetime/Recent Version - Aborted Suicide Attempt (Past 3 Months) | C3899904
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Interrupted Suicide Attempt (Lifetime) | C3830706
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - First Suicide Attempt Date | C3830711
C-SSRS Children's Baseline - First Suicide Attempt Actual Lethality/Medical Damage | C3830833
C-SSRS Already Enrolled Subjects - Actual Suicide Attempt (Since Study Start) | C3830963
C-SSRS Already Enrolled Subjects - Aborted Suicide Attempt (Since Study Start) | C3830971
C-SSRS Lifetime/Recent Version - Interrupted Suicide Attempt (Past 3 Months) | C3899872
Actual lethality or medical damage most lethal suicide attempt:Find:Lifetime:^Patient:Ord:C-SSRS | C5211746
Suicide and self-inflicted poisoning by other specified gases and vapors | C0261969
Suicide and self-inflicted poisoning by unspecified drug or medicinal substance | C0261957
Suicide and self-inflicted injury by firearms, air guns, and explosives | C0490043
Increase the public's awareness that suicide is a preventable health problem | C1736354
Suicide and selfinflicted poisoning by liquefied petroleum gas distributed in mobile containers | C0261964
Actual lethality or medical damage initial or first suicide attempt:Find:Pt:^Patient:Ord:C-SSRS | C5211758
Suicide and self-inflicted injuries by jumping from other man-made structures | C0546831
Suicide or self injury by placing self in path of moving vehicle | C0418321
Columbia-Suicide Severity Rating Scale Pediatric/Cognitively Impaired - Lifetime Recent - Clinical Questionnaire | C4055216
PANEL.SURVEY.CSSRS | C5211320
Suicide risk based on their clinician's evaluation or a clinician-rated tool (M1355) | C5849246
Suicide risk based on their clinician's evaluation or a clinician-rated tool (M1361) | C5849245
C-SSRS Screening - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3830663
C-SSRS Baseline/Screening Version Phase 1 Study - First Suicide Attempt Date | C3642037
C-SSRS Children's Baseline/Screening - First Suicide Attempt Actual Lethality/Medical Damage | C3830795
C-SSRS Baseline/Screening Version - First Suicide Attempt Actual Lethality/Medical Damage | C3830882
C-SSRS Children's Baseline/Screening - Preparatory Acts or Behaviors Toward Suicide Attempt | C3830775
C-SSRS Children's Baseline - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3830827
C-SSRS Children's Since Last Visit - Most Lethal Suicide Attempt Potential Lethality | C3830746
C-SSRS Children's Baseline - Most Recent Suicide Attempt Actual Lethality/Medical Damage | C3830824
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Most Recent Suicide Attempt Date | C3830700
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Most Lethal Suicide Attempt Date | C3830703
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Description of Interrupted Suicide Attempt | C3830716
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Description of Aborted Suicide Attempt | C3830721
C-SSRS Already Enrolled Subjects - Actual Suicide Attempt (Prior to Study Entry) | C3830964
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Description of Actual Suicide Attempt | C3830717
C-SSRS Already Enrolled Subjects - Interrupted Suicide Attempt (Prior to Study Entry) | C3830938
C-SSRS Baseline - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3639934
C-SSRS Already Enrolled Subjects - Aborted Suicide Attempt (Prior to Study Entry) | C3830972
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - First Suicide Attempt Potential Lethality | C3830710
C-SSRS Already Enrolled Subjects - First Suicide Attempt Actual Lethality/Medical Damage | C3830943
C-SSRS Since Last Visit - Preparatory Acts or Behaviors Toward Suicide Attempt | C3641602
C-SSRS Lifetime/Recent Version - First Suicide Attempt Actual Lethality/Medical Damage | C3899878
C-SSRS Children's Since Last Visit - Aborted or Self-interrupted Suicide Attempt | C3830766
I have had thoughts of suicide in the last 2W or more | C3475869
I have had thoughts of suicide since I took my last screen | C3475870
Suicide and self-inflicted poisoning by other specified drugs and medicinal substances | C0261956
Determine whether patient has available means to follow through with suicide plan | C4713897
Initiate suicide precautions (e.g., ongoing observation and monitoring of the patient, provision of a protective environment) for the patient who is at serious risk of suicide | C0811413
Suicide or self injury by placing self in path of moving motor vehicle | C0418322
Suicide or self injury by placing self in path of moving railway vehicle | C0418323
C-SSRS Baseline/Screening Version - Number of Interrupted Suicide Attempts (Past X Years) | C3830858
C-SSRS Baseline/Screening Version - Number of Aborted Suicide Attempts (Past X Years) | C3830862
C-SSRS Baseline/Screening Version - Number of Actual Suicide Attempts (Past X Years) | C3830860
C-SSRS Baseline/Screening Version Phase 1 Study - Number of Aborted Suicide Attempts | C3642026
C-SSRS Baseline/Screening Version Phase 1 Study - Number of Actual Suicide Attempts | C3642019
C-SSRS Baseline/Screening Version Phase 1 Study - Number of Interrupted Suicide Attempts | C3642023
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Number of Interrupted Suicide Attempts (Lifetime) | C3830688
C-SSRS Already Enrolled Subjects - Number of Actual Suicide Attempts (Since Study Start) | C3830921
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Number of Actual Suicide Attempts (Lifetime) | C3830690
C-SSRS Already Enrolled Subjects - Number of Interrupted Suicide Attempts (Since Study Start) | C3830919
C-SSRS Baseline/Screening Version Phase 1 Study - Description of Actual Suicide Attempt | C3642020
C-SSRS Baseline/Screening Version Phase 1 Study - Description of Interrupted Suicide Attempt | C3642024
C-SSRS Baseline/Screening Version Phase 1 Study - Description of Aborted Suicide Attempt | C3642027
C-SSRS Lifetime/Recent Version - Number of Actual Suicide Attempts (Past 3 Months) | C3899857
C-SSRS Lifetime/Recent Version - Number of Aborted Suicide Attempts (Past 3 Months) | C3899859
C-SSRS Lifetime/Recent Version - Number of Interrupted Suicide Attempts (Past 3 Months) | C3899855
C-SSRS Already Enrolled Subjects - Number of Aborted Suicide Attempts (Since Study Start) | C3830923
C-SSRS Children's Baseline/Screening - Most Recent Suicide Attempt Actual Lethality/Medical Damage | C3830785
C-SSRS Baseline/Screening Version - Most Recent Suicide Attempt Actual Lethality/Medical Damage | C3830872
C-SSRS Baseline/Screening Version - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3830875
C-SSRS Baseline/Screening Version Phase 1 Study - Most Lethal Suicide Attempt Date | C3642034
C-SSRS Baseline/Screening Version Phase 1 Study - Most Recent Suicide Attempt Date | C3642031
C-SSRS Children's Baseline/Screening - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3830788
C-SSRS Baseline/Screening Version Phase 1 Study - First Suicide Attempt Potential Lethality | C3642039
C-SSRS Baseline/Screening Version - Preparatory Acts or Behaviors Toward Suicide Attempt (Lifetime) | C3830857
Columbia-Suicide Severity Rating Scale Pediatric/Cognitively Impaired - Since Last Visit - Clinical Questionnaire | C4055215
C-SSRS Lifetime/Recent Version - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3899871
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Most Recent Suicide Attempt Potential Lethality | C3830699
C-SSRS Already Enrolled Subjects - Most Recent Suicide Attempt Actual Lethality/Medical Damage | C3830933
C-SSRS Already Enrolled Subjects - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3830936
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Most Lethal Suicide Attempt Potential Lethality | C3830702
C-SSRS Lifetime/Recent Version - Most Recent Suicide Attempt Actual Lethality/Medical Damage | C3899868
C-SSRS Children's Baseline - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3830835
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Interrupted Suicide Attempt (Past 3 Months) | C3830705
C-SSRS Children's Since Last Visit - Preparatory Acts or Behaviors Toward Suicide Attempt | C3830739
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Actual Suicide Attempt (Past 3 Month) | C3830724
C-SSRS Lifetime/Recent Version - Preparatory Acts or Behaviors Toward Suicide Attempt (Lifetime) | C3899854
I think of suicide or death several times a week for several minutes | C3843110
I have had thoughts of suicide since I took my last screen:Find:Pt:^Patient:Ord:M3 | C3484039
Columbia - suicide severity rating scale - very young child or cognitively impaired - lifetime recent | C5212022
I have had thoughts of suicide in the last 2W or more:Find:Pt:^Patient:Ord:M3 | C3483836
Suicide and self-inflicted poisoning by other and unspecified solid and liquid substances | C0261961
Use of social media for educational programs to increase awareness of suicide risk | C4715686
I think of suicide or death several times a day in some detail, or I have made specific plans for suicide or have actually tried to take my life | C3843109
MVA-FCU1 TG4023 | C2981801
C-SSRS Already Enrolled Subjects - Number of Interrupted Suicide Attempts (Prior to Study Entry) | C3830920
C-SSRS Already Enrolled Subjects - Number of Actual Suicide Attempts (Prior to Study Entry) | C3830922
C-SSRS Already Enrolled Subjects - Number of Aborted Suicide Attempts (Prior to Study Entry) | C3830924
C-SSRS Children's Since Last Visit - Number of Aborted or Self-interrupted Suicide Attempts | C3830742
C-SSRS Children's Baseline/Screening - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3830797
C-SSRS Baseline/Screening Version - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3830888
C-SSRS Baseline/Screening Version Phase 1 Study - Most Recent Suicide Attempt Potential Lethality | C3642033
C-SSRS Baseline/Screening Version Phase 1 Study - Most Lethal Suicide Attempt Potential Lethality | C3642036
C-SSRS Children's Since Last Visit - Most Lethal Suicide Attempt Actual Lethality/Medical Damage | C3830748
C-SSRS Children's Since Last Visit - Description of Aborted or Self-interrupted Suicide Attempt | C3830760
C-SSRS Already Enrolled Subjects - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3830949
C-SSRS Since Last Visit - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3641603
C-SSRS Lifetime/Recent Version - Description of Preparatory Acts or Behaviors Toward Suicide Attempt | C3899884
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Aborted or Self-interrupted Suicide Attempt (Lifetime) | C3830733
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - First Suicide Attempt Actual Lethality/Medical Damage | C3830712
Continue regular assessment of suicidal risk (at least daily) in order to adjust suicide precautions appropriately | C0810898
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Number of Interrupted Suicide Attempts (Past 3 Months) | C3830687
C-SSRS Pediatric/Cognitively Impaired Lifetime/Recent - Number of Actual Suicide Attempts (Past 3 Months) | C3830689
